46 56 54 31 29 34 32 56 31 29 32 42 53 39 34 35 32 0 32 56 47 55 34 31 32 45 54 30 26 31 31 44 30 54 56 36 47 30 74 32 29 25 
30 29 30 44 44 47 65 28 67 65 41 37 32 41 50 48 51 32 0 28 34 32 48 67 43 23 29 41 76 42 55 31 43 31 29 45 31 55 32 43 46 40 
45 54 53 29 30 30 29 51 32 27 28 46 53 40 31 32 28 56 28 0 48 53 31 32 33 45 55 30 25 31 29 43 30 56 54 32 47 25 53 31 25 24 
62 47 48 31 30 30 31 47 27 32 28 57 46 50 31 29 28 47 34 48 0 46 31 27 34 50 46 27 32 28 30 53 36 47 47 29 50 28 45 27 21 27 
43 72 38 30 33 33 32 57 33 29 32 41 91 42 31 32 29 55 32 53 46 0 29 33 32 44 52 29 27 30 31 43 32 53 55 39 45 29 93 30 29 26 
29 30 28 49 52 43 40 29 35 37 50 33 32 40 37 96 36 34 48 31 31 29 0 35 52 27 28 49 47 51 38 32 52 30 30 31 28 38 32 67 40 47 
31 29 32 40 44 47 63 31 99 67 41 46 33 36 54 36 51 31 67 32 27 33 35 0 42 29 31 40 66 44 58 32 43 32 29 48 31 56 32 44 42 42 
27 30 31 64 61 39 44 31 42 42 90 28 31 40 41 51 40 32 43 33 34 32 52 42 0 30 32 61 43 62 41 28 61 33 30 38 31 43 31 59 36 61 
47 45 45 26 29 27 29 45 29 27 29 95 45 32 27 29 24 45 23 45 50 44 27 29 30 0 45 28 24 31 27 46 33 45 45 27 48 27 44 29 23 23 
46 57 65 26 29 29 30 56 31 27 32 45 53 39 31 30 28 54 29 55 46 52 28 31 32 45 0 29 28 29 28 43 32 54 57 32 47 28 52 29 24 24 
26 28 28 72 61 40 41 30 40 39 58 27 31 25 40 48 39 30 41 30 27 29 49 40 61 28 29 0 39 67 39 32 60 31 28 38 28 40 32 80 35 66 
27 27 28 41 42 47 62 26 66 63 42 29 29 35 49 47 50 26 76 25 32 27 47 66 43 24 28 39 0 40 56 28 41 29 27 45 30 55 29 39 44 40 
29 27 28 79 60 40 42 28 44 40 59 35 31 27 39 58 38 31 42 31 28 30 51 44 62 31 29 67 40 0 41 28 62 30 27 35 28 42 30 67 34 73 
29 28 29 40 43 42 58 28 58 65 40 22 31 44 51 38 46 31 55 29 30 31 38 58 41 27 28 39 56 41 0 32 43 25 28 46 22 51 30 42 44 39 
56 45 43 31 30 29 29 44 32 32 28 53 42 40 31 32 31 44 31 43 53 43 32 32 28 46 43 32 28 28 32 0 34 44 45 38 44 31 42 33 21 26 
28 27 32 66 94 40 44 33 43 43 58 32 32 41 42 65 38 30 43 30 36 32 52 43 61 33 32 60 41 62 43 34 0 32 27 39 31 40 33 73 37 61 
49 55 54 30 30 29 27 52 32 26 32 47 55 37 32 31 28 54 31 56 47 53 30 32 33 45 54 31 29 30 25 44 32 0 55 32 46 27 54 31 22 25 
45 90 54 24 28 30 30 54 29 28 28 46 52 44 32 31 25 56 29 54 47 55 30 29 30 45 57 28 27 27 28 45 27 55 0 34 46 28 70 25 28 22 
37 36 31 36 40 41 48 33 48 48 36 25 39 25 49 32 42 36 45 32 29 39 31 48 38 27 32 38 45 35 46 38 39 32 34 0 34 54 39 37 49 35 
46 46 46 31 29 29 30 48 31 24 31 42 46 40 29 31 30 47 31 47 50 45 28 31 31 48 47 28 30 28 22 44 31 46 46 34 0 28 45 25 21 24 
28 28 26 41 41 46 54 27 56 55 41 46 28 34 60 38 47 30 55 25 28 29 38 56 43 27 28 40 55 42 51 31 40 27 28 54 28 0 28 43 53 40 
42 71 51 34 33 32 32 56 32 29 30 42 94 45 31 33 31 74 32 53 45 93 32 32 31 44 52 32 29 30 30 42 33 54 70 39 45 28 0 29 29 26 
31 26 28 68 72 42 43 30 44 43 55 28 29 40 50 66 41 32 43 31 27 30 67 44 59 29 29 80 39 67 42 33 73 31 25 37 25 43 29 0 39 66 
22 28 25 35 38 41 45 26 42 47 36 28 29 28 49 31 40 29 46 25 21 29 40 42 36 23 24 35 44 34 44 21 37 22 28 49 21 53 29 39 0 34 
22 22 24 76 59 38 41 23 42 38 57 31 26 29 38 52 36 25 40 24 27 26 47 42 61 23 24 66 40 73 39 26 61 25 22 35 24 40 26 66 34 0 
